ID,Instances of works,Abstract Title,Instance Title,Generic Descriptor,Number of parts,Voice in the Polyphony,Primary Language,Secondary Language,Style of discourse,Number of stanzas,Number of envois,Date,Authors,Author commentary,L Index,MW Index,RS Index,T Index (Motets),T Index (Songs),Lu Index,M Index,vdB Index (Rondeaux),Host work ID,Host Work Instance,Host Work Location,Other data,Edition,Manuscript Collocation
M 447,1,Lonc le rieu de la fontaine,,,,Duplum,,,,,,,Anonyme,,,,,318,,,447,,Li 265-1088,1,,Incipit marginal : Lonc le rieu de la fontaine,,"F-Pn lat. 15139, fol. 291 v"
M 447,2,Lonc le rieu de la fontaine,Lonc le rieu de la fontaine,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1544, 1",,318,,,447,,Li 265-1088,2,,,,"F-Pn fr. 12615, fol. 193 r"
M 447a,1,Trop font vilonie,Trop font vilonie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"585, 1",,270,,,447a,,Li 265-1699,1,,,,"B-LEu sans cote, n° 5"
M 452a,1,Ce fu en trés douz tens de mai,Ce fu en trés douz tens de mai,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"403, 1",,36-2,,,452a,,Li 265-286,1,,,,"F-Pn nouv. acq. fr. 13521, fol. 379 ra"
M 457,1,"A vous pens, bele douce amie",A vous pens bele douce amie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,311,,,457,,Li 265-201,1,,,,"F-Pn fr. 844, fol. 209 vb"
M 457,2,"A vous pens, bele douce amie",A vous pens belle douce ami,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,311,,,457,,Li 265-201,2,,,,"F-Pn fr. 12615, fol. 191 v"
M 458,1,Quant se siet bele Ysabeaus,,,,Duplum,,,,,,,Anonyme,,,,,321,,,458,,Li 265-1481,1,,,,"F-Pn lat. 15139, fol. 291 r"
M 458,2,Quant se siet bele Ysabeaus,Quant se siet belle ysabeaus,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1352, 2",,321,,,458,,Li 265-1481,2,,,,"F-Pn fr. 12615, fol. 194 r"
M 459,1,Navrés sui au cuer si trés doucement,Naurés sui au cuer si trés doucement,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"637, 1",,,,,459,,Li 265-1190,1,,,,"F-MO H 196, fol. 155 v"
M 459,2,Navrés sui au cuer si trés doucement,Naurés sui au cuer si trés doucement,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"637, 1",,,,,459,,Li 265-1190,2,,,,"D-BAs Lit. 115, fol. 46 va"
M 460,1,Navrés sui pres du cuer sans plaie,Naurés sui pres du cuer sans plaie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"980, 1",,,,,460,,Li 265-1190,1,,,,"F-MO H 196, fol. 156 r"
M 460,2,Navrés sui pres du cuer sans plaie,Naurés sui pres dou cuer sans plaie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"980, 1",,,,,460,,Li 265-1190,2,,,,"D-BAs Lit. 115, fol. 46 vb"
M 461,1,Je ne puis ne si ne voeil,Ie ne puis ne si uoeil,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"1196, 1",,,,,461,,Li 265-910,1,,,,"F-MO H 196, fol. 171 v"
M 462,1,Amors me tienent jolis,Amors me tienent iolis,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1532, 1",,,,,462,,Li 265-910,1,,,,"F-MO H 196, fol. 172 r"
M 463,1,J'ai doné tout mon cuer et mon penser,I'ai doné tout mon cuer et mon pensé,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"386, 1",,,,,463,,Li 265-805,1,,,,"F-MO H 196, fol. 206 v"
M 468,1,Tuit cil qui sont enamourat,Tvit cil qui sunt enamourat,Rondeau,,Duplum,Langue d'oïl,,,,,,Anonyme,,,,,,,,468,110,Li 265-1070,1,,,,"F-MO H 196, fol. 219 r"
M 470,1,"Ave, regina glorie",Ave regina glorie,,,Duplum,Latin,,,,,,Anonyme,,,,,,,,470,,Li 265-1070a,1,,,,"F-MO H 196, fol. 103 r"
M 471,1,Mesdisant par leur envie,Mesdisant par leur enuie,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"581, 1",,,,,471,,Li 265-1152,1,,,,"F-MO H 196, fol. 219 v"
M 472,1,Biau cors qui a tous doit plaire,Biau cors qui a tot doit plaire,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"968, 4",,,,,472,,Li 265-1152,1,,,,"F-MO H 196, fol. 220 r"
M 475,1,Nus ne se doit repentir,Nvs ne se doit repentir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1357, 1",,,,,475,,Li 265-1225,1,,,,"F-Pn fr. 844, fol. 208 ra"
M 475,2,Nus ne se doit repentir,Nvs ne se doit repentir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1357, 1",,,,,475,,Li 265-1225,2,,,,"F-Pn fr. 12615, fol. 187 v"
M 475,3,Nus ne se doit repentir,Nvs ne se doit repentir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1357, 1",,,,,475,,Li 265-1225,3,,,,"F-MO H 196, fol. 246 v"
M 477,1,Biaus cuers desirrés et douz,Biaus cuers desirrés et dous,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"371, 1",,,,,477,,Li 265-232,1,,,,"F-MO H 196, fol. 255 v"
M 477,2,Biaus cuers desirrés et douz,Biaus cuers desireis et dous,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"371, 1",,,,,477,,,,,,,"GB-Ob Douce 308, fol. 244 (257) vb"
M 480,1,"Dieus, je n'i puis la nuit dormir",,,,Duplum,,,,,,,Anonyme,,,,,140-1,,,480,,Li 265-519a,1,,Incipit marginal : Dieus ie n'i puis la nuit dormir,,"F-Pn lat. 15139, fol. 288 r"
M 480,2,"Dieus, je n'i puis la nuit dormir",Dex ie n'i puis la nuit dormir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1475, 2",,140-1,,,480,,Li 265-519a,2,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 208 r"
M 480,3,"Dieus, je n'i puis la nuit dormir",Dieus ie n'i puis la nuit dormir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1475, 2",,140-1,,,480,,Li 265-519a,3,,,,"D-BAs Lit. 115, fol. 15 rb"
M 480,4,"Dieus, je n'i puis la nuit dormir",Diex ie n'i puis la nuit dormir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1475, 2",,140-1,,,480,,Li 265-519,1,,,,"F-MO H 196, fol. 45 ra"
M 480,5,"Dieus, je n'i puis la nuit dormir",Dex ie ne puix la nuit dormir,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1475, 2",,140-1,,,480,,,,,,,"GB-Ob Douce 308, fol. 244 (257) va"
M 482,1,C'est la jus par desous l'olive,C'est la ius par desous l'oliue,Rondet,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"181, 68",,308,,,482,162,Li 265-311,1,,,,"F-Pn fr. 12615, fol. 191 r"
M 489,1,Mout sui fous quant ne me tai,Mout sui fous quant ne me taiz,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1547, 1",,,,,489,,Li 265-1187,1,,,,"F-MO H 196, fol. 262 r"
M 492,1,Hier main tous seus chevauchoie,Hiex main toz seus cheuauchoie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1538, 1",,,,,492,,Li 265-774,1,,,,"F-MO H 196, fol. 267 r"
M 493,1,Envie a mout grant vertu,Enuie a mout grant uertu,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"88, 1",,,,,493,,Li 265-676,1,,,,"F-MO H 196, fol. 251 v"
M 496,1,Encontre le tens pascor,Encontre le tans de pascor,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"597, 1",,129-3,,,496,,Li 265-605a,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 193 r"
M 496,2,Encontre le tens pascor,Encontre le tens de pascour,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"597, 1",,129-3,,,496,,Li 265-605a,2,,,,"F-MO H 196, fol. 134 v"
M 496,3,Encontre le tens pascor,Encontre le tens de pascour,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"597, 1",,129-3,,,496,,Li 265-605,1,,,,"F-Pn nouv. acq. fr. 13521, fol. 384 vb"
M 496,4,Encontre le tens pascor,Encontre le tens de pascor,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"597, 1",,129-3,,,496,,Li 265-605,2,,,,"D-BAs Lit. 115, fol. 38 ra"
M 497,1,Quant fueillent aubespine,Quant fueillant aubespin,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"124, 1",,129-2,,,497,,Li 265-605a,1,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 194 r"
M 497,2,Quant fueillent aubespine,Qvant fuellent aubespin,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"124, 1",,129-2,,,497,,Li 265-605a,2,,,,"F-MO H 196, fol. 135 r"
M 497,3,Quant fueillent aubespine,,,,Duplum,,,,,,,Anonyme,,,,,129-2,,,497,,Li 265-605b,1,,,,"D-W Cod. Guelf. 628 Helmst., fol. 82 (91) r"
M 497,4,Quant fueillent aubespine,,,,Duplum,,,,,,,Anonyme,,,,,129-2,,,497,,Li 265-605b,2,,,,"I-Fl Plut. 29. 1, fol. 45 r"
M 502,1,J'ai mon cuer del tout abandoné,J'ai mon cuer del tout abandouné,Rondeau,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"181, 21",,185,,,502,159,Li 265-824,1,,,,"F-Pn fr. 12615, fol. 184 r"
M 503,1,Ja n'iert nus bien assenés,Ia n'ert nus bien assenés,Rondeau,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"181, 97",,284,,,503,160,Li 265-849,1,,,,"F-Pn fr. 12615, fol. 184 v"
M 504,1,Bien doit joie demener,Bien doit joie demener,Rondeau,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"181, 74",,285,,,504,161,Li 265-252,1,,,,"F-Pn fr. 844, fol. 206 ra"
M 504,2,Bien doit joie demener,Bien doit ioie demener,Rondeau,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"181, 74",,285,,,504,161,Li 265-252,2,,,,"F-Pn fr. 12615, fol. 184 v"
M 508,1,Hé! douce dame,Hé douce dame,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"423, 1",,293,,,508,,Li 265-760,1,,,,"F-Pn fr. 844, fol. 208 vb"
M 508,2,Hé! douce dame,É douce dame,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"423, 1",,293,,,508,,Li 265-760,2,,,,"F-Pn fr. 12615, fol. 188 v"
M 509,1,Ne sai ou confort trouver,Ne sai ou confort trouer,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"445, 1",,90-2,,,509,,Li 265-1202,1,,,,"F-MO H 196, fol. 121 v"
M 510,1,Que pour moi reconforter,,,,Duplum,,,,,,,Anonyme,,,,,90-1,,,510,,Li 265-1202a,1,,Incipit marginal : Que pour moi reconforter,,"F-Pn lat. 15139, fol. 292 r"
M 510,2,Que pour moi reconforter,Qve por moi reconforter,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1351, 1",,90-1,,,510,,Li 265-1202,1,,,,"F-MO H 196, fol. 122 r"
M 511,1,Cele m'a tolu la vie,Cele m'a tolu la uie,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"1553, 1",,214-2,,,511,,Li 265-290a,1,,,,"F-MO H 196, fol. 116 v"
M 511,2,Cele m'a tolu la vie,Cele m'a tolu la uie,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"1553, 1",,214-2,,,511,,Li 265-290a,2,,,,"D-BAs Lit. 115, fol. 35 va"
M 511,3,Cele m'a tolu la vie,[…] dolour souffrir,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"1553, 1",,214-2,,,511,,Li 265-290a,3,,,,"I-Rvat Reg. lat. 1543, n° 1"
M 511,4,Cele m'a tolu la vie,Cele m'a tolu la uie,,,Triplum,Langue d'oïl,,,,,,Anonyme,,,"1553, 1",,214-2,,,511,,Li 265-290,1,,,,"F-Pn nouv. acq. fr. 13521, fol. 372 va"
M 513,1,Pulchra decens,Pulchra decens,,,Triplum,Latin,,,,,,Anonyme,,,,,214-3,,,513,,Li 265-290b,1,,,,"I-Tr Vari 42, fol. 35 ra"
M 515,1,Bien doi amer mon ami,Bjen doi amer mon ami,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"737, 1",,199,,,515,,Li 265-1590,1,,,,"F-MO H 196, fol. 357 (355) vb"
M 515a,1,Quant l'aloete saut,Qvant l'aloete saut,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"419, 1",,269,,,515a,,Li 265-1445,1,,,,"B-LEu sans cote, n° 4"
M 515a,2,Quant l'aloete saut,,,,Duplum,,,,,,,Anonyme,,,,,269,,,515a,,Li 265-1445a,1,,,,"I-Fl Plut. 29. 1, fol. 169 v"
M 519,1,Bele sans orgueil et jone sans folie,,,,Duplum,,,,,,,Anonyme,,,"1304, 1",,229-1,,,519,,Li 265-4a,1,,Incipit marginal : Bele sans orguel,,"F-Pn lat. 15139, fol. 292 v"
M 519,2,Bele sans orgueil et jone sans folie,Bele sanz orguell et ieune sanz folie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1304, 1",,229-1,,,519,,Li 265-4a,2,,,,"D-W Cod. Guelf. 1099 Helmst., fol. 224 v"
M 519,3,Bele sans orgueil et jone sans folie,Bele sans orguel et ioene sans folie,,,Duplum,Langue d'oïl,,,,,,Anonyme,,,"1304, 1",,229-1,,,519,,Li 265-4,1,,,,"F-MO H 196, fol. 133 r"
