Ref Number,NOTE FROM ANNE,NOTE FROM ADAM,Linker Number,Abstract Master Text,Occurance Number,Occurance Type,Parent Work,Parent Index Blob,Parent Date,Parent vdB Index (rondeaux),Parent RS Index,Parent L Index,Parent T Index (songs),Parent T Index (motets),Parent MW Index,Parent Lu Index,Refrain Location,Parent Generic Descriptor,Parent Work Author,Host Work,Host Work Date,Host Work Generic Descriptor,Host Work Author,Singer,Destinataire,Circonstances,Fonction,Marque de chant précédant le refrain,Marque de chant suivant le refrain,Marque de discours,Manuscript Number,Image File,Manuscript Collocation,Reading,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain motetus),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1; refrain interne 2),Derived Reading Text (st. 1; refrain final),Derived Reading Text (st. 2; refrain interne),Derived Reading Text (st. 2; refrain interne 2),Derived Reading Text (st. 2; refrain final),Derived Reading Text (st. 3; refrain interne),Derived Reading Text (st. 3; refrain interne 2),Derived Reading Text (st. 3; refrain final),Derived Reading Text (st. 4; refrain interne),Derived Reading Text (st. 4; refrain interne 2),Derived Reading Text (st. 4; refrain final),Derived Reading Text (st. 5; refrain interne),Derived Reading Text (st. 5; refrain interne 2),Derived Reading Text (st. 5; refrain final),Derived Reading Text (st. 6; refrain interne),Derived Reading Text (st. 6; refrain interne 2),Derived Reading Text (st. 6; refrain final),Derived Reading Text (st. 7; refrain interne),Derived Reading Text (st. 7; refrain interne 2),Derived Reading Text (st. 7; refrain final),Derived Reading Text (st. 8; refrain interne),Derived Reading Text (st. 8; refrain interne 2),Derived Reading Text (st. 8; refrain final),Derived Reading Text (st. 9; refrain interne),Derived Reading Text (st. 9; refrain interne 2),Derived Reading Text (st. 9; refrain final),Derived Reading Text (st. 10; refrain final),Derived Reading Text (st. 11; refrain final),Derived Reading Text (st. 12; refrain final),Derived Reading Text (st. 13; refrain final),Derived Reading Text (st. 14; refrain final),Derived Reading Text (st. 15; refrain final),Derived Reading Text (st. 16; refrain final),Derived Reading Text (st. 17; refrain final),Derived Reading Text (st. 18; refrain final),Derived Reading Text (st. 19; refrain final),Derived Reading Text (st. 20; refrain final),Derived Reading Text (st. 21; refrain final),Derived Reading Text (st. 22; refrain final),Derived Reading Text (st. 23; refrain final),Derived Reading Text (st. 24; refrain final),Derived Reading Text (st. 25; refrain final),Derived Reading Text (Envoi 1; refrain final),Derived Reading Text (Envoi 2; refrain final),Métrique,Other Manuscript Data,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter; chant,,,2,1_files/image016.png,"F-Pn fr. 25566, fol. 167 vb (V)",,Adés sont ces sades brunetes les plus iolietes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter; chant,,,3,1_files/image018.png,"F-Pn fr. 1593, fol. 51 (52) ra (F)",,Adés sont trés sades bruneites les plus iolietes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter; chant,,,4,1_files/image020.png,"F-Pn fr. 372, fol. 52 vb (C)",,adés sont ces sades brunetes les plus iolietes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),Doné ma dame ai mon   cuer trés dont que l'euch / Adiés sont ces sades brunetes   (enté int.) / Kyrie Celum,"Lu: 620 / 621 / Kyrie 6   L: 265-537   MW: 1380, 1   ",,,,265-537,,,"1380, 1",620 / 621 / Kyrie 6,Enté interne,Motet,?,,,,,,,,,,,,1,1_files/image022.png,"F-MO H 196, fol. 335 rb",,Adiés sunt ces sades brunetes les plus iolietes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8A'5,,,,,,,,,,,,,
11,,,,"Adeviner porés cui j'aimme, par moi ne le sarés vous ja.",1,littéraire,Violette v. 3665,Ca 1227-1229   ,Ca 1227-1229,,,,,,,,,Roman,Gerbert de Montreuil,,,,,Gerart,Flourentine,Après avoir bu le philtre d'amour,Discours,Commencer à chanter,Chanter,,1,,"F-Pn fr. 1374, fol. 155 ra (B)",Adeviner][D]euiner; porés]poez; j'aimme]i'aime; par moi ne le sarés vous ja]més uous nel saurez par moi ia.,[D]euiner poez cui i'aime més uous nel saurez par moi ia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commencer à chanter,Chanter,,2,,"F-Pn fr. 1553, fol. 306 va (A)",Adeviner]Adeuiner; j'aimme]i'ainme; par moi ne le sarés vous ja]par moi ne le sarés vous ja.,Adeuiner porés cui i'ainme par moi ne le sarés vous ja.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commencer à chanter,Chanter,,3,,"RUS-SPsc fr. 4° v. XIV. 3, fol. 26 ra (C)",Adeviner]deuiner; porés]pourez; j'aimme]i'ayme; par moi ne le sarés vous ja]par moy ne saurez ia.,Deuiner pourez cui i'ayme Par moy ne saurez ia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Commencer à chanter,Chanter,,4,,"US-NYpm 36, fol. 65 v (D)",Adeviner]adevinez; porés]pouez; cui]qui; j'aimme]j'ayme; par moi ne le sarés vous ja]mais par moy ne le saurés ja,ADEVINEZ pouez qui j'ayme Mais par moy ne le saurés ja,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B8,,,,,,,,,,,,,
12,,,,"A Dieu commant amouretes, car je m'en vois souspirant en terre estrange.",1,lyrique (polyphonie),A Dieu commant   amouretes,"vdB: Rond. 73   L: 265-38   MW: 807, 1   ",,73,,265-38,,,"807, 1",,,Rondeau (3 voix),Adam de la Halle,,,,,,,,,,,,1,,"F-Pn fr. 25566, fol. 33 rb",,,,A Dieu conmant amouretes car ie m'en uois souspirant en terre estrange.,A dieu conmant amouretes car ie m'en uois. et cetera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B4C'7,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),Aucun (Adam F-Pn fr. 25566) se sont loé d'Amours / A Dieu commant amouretes (enté) / Et super (Super te F-Pn fr. 25566),"Lu: 834 / 835 / Teneur   L: 2-54   MW: 1000, 1   ",,,,2-54,,,"1000, 1",834 / 835 / Teneur,Enté,Motet,Adam de la Halle (F-Pn fr. 25566),,,,,,,,,,,,1,1_files/image024.png,"F-MO H 196, fol. 288 rb",,A Dieu quemant amouretes car m'en vois souspirant en terre estrange.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B3C'7,,,,,,,,,,,,,
