Ref Number,NOTE FROM ANNE,NOTE FROM ADAM,Linker Number,Abstract Master Text,Occurance Number,Occurance Type,Parent Work,Parent Index Blob,Parent Date,Parent vdB Index (rondeaux),Parent RS Index,Parent L Index,Parent T Index (songs),Parent T Index (motets),Parent MW Index,Parent Lu Index,Refrain Location,Parent Generic Descriptor,Parent Work Author,Host Work,Host Work Date,Host Work Generic Descriptor,Host Work Author,Singer,Destinataire,Circonstances,Fonction,Marque de chant précédant le refrain,Marque de chant suivant le refrain,Marque de discours,Manuscript Number,Image File,Manuscript Collocation,Reading,Derived Reading Text,Derived Reading Text (Refrain 1 [sur l'incipit français]),Derived Reading Text (Refrain 1),Derived Reading Text (Refrain 2),Derived Reading Text (Refrain 3),Derived Reading Text (Refrain 4),Derived Reading Text (Refrain 5),Derived Reading Text (Refrain 6),Derived Reading Text (Refrain triplum),Derived Reading Text (Refrain motetus),Derived Reading Text (Refrain teneur),Derived Reading Text (Initial),Derived Reading Text (Final),Derived Reading Text (st. 1; refrain interne),Derived Reading Text (st. 1; refrain interne 2),Derived Reading Text (st. 1; refrain final),Derived Reading Text (st. 2; refrain interne),Derived Reading Text (st. 2; refrain interne 2),Derived Reading Text (st. 2; refrain final),Derived Reading Text (st. 3; refrain interne),Derived Reading Text (st. 3; refrain interne 2),Derived Reading Text (st. 3; refrain final),Derived Reading Text (st. 4; refrain interne),Derived Reading Text (st. 4; refrain interne 2),Derived Reading Text (st. 4; refrain final),Derived Reading Text (st. 5; refrain interne),Derived Reading Text (st. 5; refrain interne 2),Derived Reading Text (st. 5; refrain final),Derived Reading Text (st. 6; refrain interne),Derived Reading Text (st. 6; refrain interne 2),Derived Reading Text (st. 6; refrain final),Derived Reading Text (st. 7; refrain interne),Derived Reading Text (st. 7; refrain interne 2),Derived Reading Text (st. 7; refrain final),Derived Reading Text (st. 8; refrain interne),Derived Reading Text (st. 8; refrain interne 2),Derived Reading Text (st. 8; refrain final),Derived Reading Text (st. 9; refrain interne),Derived Reading Text (st. 9; refrain interne 2),Derived Reading Text (st. 9; refrain final),Derived Reading Text (st. 10; refrain final),Derived Reading Text (st. 11; refrain final),Derived Reading Text (st. 12; refrain final),Derived Reading Text (st. 13; refrain final),Derived Reading Text (st. 14; refrain final),Derived Reading Text (st. 15; refrain final),Derived Reading Text (st. 16; refrain final),Derived Reading Text (st. 17; refrain final),Derived Reading Text (st. 18; refrain final),Derived Reading Text (st. 19; refrain final),Derived Reading Text (st. 20; refrain final),Derived Reading Text (st. 21; refrain final),Derived Reading Text (st. 22; refrain final),Derived Reading Text (st. 23; refrain final),Derived Reading Text (st. 24; refrain final),Derived Reading Text (st. 25; refrain final),Derived Reading Text (Envoi 1; refrain final),Derived Reading Text (Envoi 2; refrain final),Métrique,Other Manuscript Data,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image2268.png,"F-MO H 196, fol. 295 vb",,Est il donc einsi qu'amouretes m'ont trahi.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_files/image2270.png,"I-Tr Vari 42, fol. 4 rb",,Est ill dont ensi k'amorettes m'ont trahi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A6A7,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"[F-B I, 716, n° 12]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,lyrique (polyphonie),In Gedeonis velere delituit (enté) / Aptatur,Lu: 729 / O45   ,,,,,,,,729 / O45,Enté,Motet,?,,,,,,,,,,,,1,1_files/image2272.png,"D-Mbs Clm. 5539, fol. 78 v",,In gedeonis et extremitas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5A5,,,,,,,,,,,,,
,,,,,3,lyrique (polyphonie),O dulcissima (enté) / Aptatur,Lu: 729a / O45   ,,,,,,,,729a / O45,Enté,Motet,?,,,,,,,,,,,,1,1_files/image2274.png,"E-BUlh s/n (Codex Las Huelgas), fol. 107 r",,O dulcissima cum beatis celi gloria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A5A9,,,,,,,,,,,,,
703,,,,Est il donc drois k'amours mi laissent? Nennil voir!,1,lyrique (monodie),Est il donc drois k'amours mi laissent?,"vdB: Rond. 91   L: 101-7a   MW: 181, 70   ",,91,,101-7a,,,"181, 70",,,Rondeau,Guillaume d'Amiens,,,,,,,,,,,,1,,"I-Rvat Reg. lat. 1490, fol. 119 (136) rb",Est]Eest refrain 1; il]jl refrain 1;donc]dont refrain 1; Nennil voir]nennil voir. refrain 1,,,Eest jl dont drois k'amours mi laissent nennil voir.,est il dont drois k'amours mi laissent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B3,,,,,,,,,,,,,
,,,,,2,lyrique (monodie),Se felon et losengier,"RS: 1286 III   L: 196-1   T: 731   MW: 901, 71   ",,,1286 III,196-1,731,,"901, 71",,Fin de strophe,Chanson avec des refrains,Philippe Paon (F-Pa 5198 / F-Pn fr. 845 / F-Pn   nouv. acq. fr. 1050 / F-Pn fr. 847   main postérieure); Jeannot Paon (F-Pn   fr. 847),,,,,,,,,,,,1,,"F-Pa 5198, p. 256 b",Est]est; drois]droiz; k'amours]qu'amours; mi laissent]m'ocie; Nennil]nenil; voir]uoir.,est il donc droiz qu'amours m'ocie nenil uoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"F-Pn fr. 845, fol. 126 ra",Est]est; drois]droiz; k'amours]qu'amors; mi laissent]m'ocie.; Nennil]nenil; voir]uoir.,est il donc droiz qu'amors m'ocie. nenil uoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"F-Pn nouv. acq. fr. 1050, fol. 173 rb",Est]est; drois]droit; k'amours]qu'amors; mi laissent]m'ocient; Nennil]nenil; voir]uoir.,est il donc droit qu'amors m'ocient nenil uoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"F-Pn fr. 847, fol. 114 va",Est]est; drois]droiz; k'amours]qu'amors; mi laissent]m'ocient; Nennil]nanil; voir]uoir.,est il donc droiz qu'amors m'ocient nanil uoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B3,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,"F-Pn fr. 1591, fol. 93 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,St. et refrain manquants,,,,,,,,,,,,
,,,,,3,lyrique (polyphonie),J'ai adés d'amours   chanté et servi (fin) / Omnes,Lu: 35 / M1   L: 2-58   ,,,,2-58,,,,35 / M1,Final,Motet,Adam de la Halle,,,,,,,,,,,,1,1_files/image2276.png,"F-Pn fr. 25566, fol. 37 ra",,est che dont droit k'amours mi laissent nenil uoir.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'8B3,,,,,,,,,,,,,
704,,,,"Est il jors? –Nenil ancores! Deus, keil parleir d'amours fait ores.",1,lyrique (monodie),Est il jors? –Nenil encores (enté),"Lu: 1098   T: 387   L: 265-684   MW: 1399, 1   ",,,,265-684,,387,"1399, 1",1098,Enté,Motet?,?,,,,,,,,,,,,1,,"GB-Ob Douce 308, fol. 244 (257) rb",jors]iors; Nenil]nenil; ancores]ancores.; Deus]deus; ores]ores.,Est il iors nenil ancores. deus keil parleir d'amours fait ores.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7A'8,,,,,,,,,,,,,
705,,,,"Est il paradis, amie, est il paradis qu'amer?",1,lyrique (monodie),"Est il paradis, amie","vdB: Rond. 183   L: 265-685   MW: 181, 107   ",,183,,265-685,,,"181, 107",,,Rondeau,?,,,,,,,,,,,,1,,"F-Pn fr. 12786, fol. 80 r",Est][E]st refrain 1; qu'amer]qu'amer. refrain 1,,,[E]st il paradis amie est il paradis qu'amer.,est il paradis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A'7B7,,,,,,,,,,,,,
706,,,,Et cil qui d'amer se repent s'est bien travailliez pour neant.,1,littéraire,Poire v. 2704-2705,Mi xiiie   ,Mi xiiie   ,,,,,,,,,Roman allégorique,Thibaut,,,,,Contenance,La dame,Après le don du cœur de la dame à l'auteur-amoureux,Discours,Chanter; mot,,Parole,1,,"F-Pn fr. 2186, fol. 74 v (A)",Et]et; repent]repent.; s'est]s'est; travailliez]trauailliez; pour]por; neant]neant.,et cil qui d'amer se repent. s'est bien trauailliez por neant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chanter; mot,,Parole,2,,"F-Pn fr. 12786, fol. 21 vb (B)",Et][E]t; repent]repant.; travailliez]trauailliez; neant]noiant.,[E]t cil qui d'amer se repant. s'est bien trauailliez puor noiant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,2,lyrique (monodie),De bien amer grant joie atent,"RS: 643 I (fin)   L: 65-24   T: 372   MW: 675, 2   ",,,643 I (fin),65-24,372,,"675, 2",,Fin de strophe,Chanson,Gace Brulé (F-Pn fr. 844 / F-Pn fr. 12615 / F-Pa   5198 / F-Pn fr. 845 / F-Pn nouv. acq. fr. 1050 / F-Pn fr. 847 / CH-BEb 389 / F-Pn fr.   846 main postérieure),,,,,,,,,,,,1,1_files/image2278.png,"F-Pn fr. 20050, fol. 14 r",,et cil qui d'amer se repent s'est bien trauailliez por neiant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image2280.png,"F-Pn fr. 844, fol. 25 (19) ra",,et cil qui d'amours se repent: s'est bien traveilliez pour noient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_files/image2282.png,"F-Pn fr. 12615, fol. 161 r",,et cil ki d'amer se repent. s'est bien trauelliés pour noient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1_files/image2284.png,"F-Pa 5198, p. 59 a",,et cil qui d'amer se repent: s'est bien traueilliez pour noient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1_files/image2286.png,"F-Pn fr. 845, fol. 18 rb",,et cil qui d'amer se repent: s'est bien traueilliez por noient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1_files/image2288.png,"F-Pn nouv. acq. fr. 1050, fol. 46 va",,et cil qui d'amer se repent. c'est bien trauailliés por noient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1_files/image2290.png,"F-Pn fr. 847, fol. 2 vb",,et cil qui d'amer se repent s'est bien traueilliez por noient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1_files/image2292.png,"F-Pn fr. 24406, fol. 29 va",,et cil qui d'amer se repent. s'est bien trauailliez pour noient.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1_files/image2294.png,"F-Pn fr. 846, fol. 39 vb",,et cil qui d'amer se repent ses biens trauaillé pour neant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,"CH-BEb 389, fol. 55 v",,et cil ki d'amer se repent c'est bien trauilliés por noiant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1_files/image2296.png,"F-Pn fr. 765, fol. 49 v",,et cil qui d'amer se repent. c'est bien traueilliez pour neant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,"GB-Ob Douce 308, fol. 153 (160) rb",,et cilz qui d'amier ce repent. est bien trauilliez por niant.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A8,,,,,,,,,,,,,
707,,,,Et comment ameray je qui me ment?,1,littéraire,Ovide l. 2822,Ca 1240   ,Ca 1240,,,,,,,,,Œuvre didactique (prose),?,,,,,les dames,Illustration de la glose sur la loyauté amoureuse,Discours,Chanter,,,,1,,"I-MOe {gamma} G. 3. 20 (Campori 42), fol. 56 v (A)",Et]et; comment]conment; ameray je]ameray,et conment ameray qui me ment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,"F-Pa 2741, fol. 48 vb (B)",Et]et; comment]conment; ameray]amerai; je]ie,et conment amerai ie qui me ment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"F-Pn fr. 881, fol. 86 vb (C)",Et]et; ment]ment.,et comment. ameray je qui me ment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A10,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"B-Br 10988, fol. 75 v (D)",Et]et; comment]conment; ameray je]ameray; ment]met.,et conmet. ameray qui me ment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A9,,,,,,,,,,,,,
708,,,,Et comant? Par son dous comandement.,1,lyrique (monodie),Dame sage et ententive,"RS: 1652   L: 265-424   MW: 1064, 6   ",,,1652,265-424,,,"1064, 6",,Fin de strophe,Ballette à refrain (3 st.),?,,,,,L'auteur,,,Chanter (st. 1-2); Trouver (st. 3); chant (st. 3),,,,1,,"GB-Ob Douce 308, fol. 210c (222) vb","Et]et st. I, et st. III; Par]par st. I/III; comandement]comandement. st. I/III",,,,,,,,,,,,,,,,et comant par son dous comandement.,,,et comant.,,,et comant par son dous comandement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3A7,,,,,,,,,,,,,
,,,,,2,lyrique (monodie),Haute pensee me done,"RS: 1905 III   L: 265-743   MW: 267, 1   ",,,1905 III,265-743,,,"267, 1",,Fin de strophe,Ballette avec des refrains,?,,,,,L'auteur,,,Chanter,,,,1,,"GB-Ob Douce 308, fol. 210c (222) va",Et]et; comant]comant.; Par]par; comandement]comandement.,et comant. par son dous comandement.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A3A7,,,,,,,,,,,,,
709,,,,"Et de mon cuer voz servirai loiaument, qu'autre amie n'avrai.",1,lyrique (polyphonie),"Pour vous, amie, criem morir (fin) / Hé, (Dieus) quant / Amoris","Lu: 362 / 361 / M27   T: 69-5   L: 265-407   MW: 571, 1   ",,,,265-407,,69-5,"571, 1",362 / 361 / M27,Final,Motet,?,,,,,,,,,,,,1,1_files/image2298.png,"F-Pn nouv. acq. fr. 13521, fol. 388 va",,et de mon cuer uos seruirai sanz mentir c'autre amie n'aurai.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A9,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image2300.png,"F-MO H 196, fol. 124 v",,et de mon cuer voz seruirai loiaument qu'autre amie n'aurai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8A9,,,,,,,,,,,,,
709a,,,,"Et elle di: sire, par ma foi, vos estes fols et jangleos.",1,lyrique (monodie),L'autreier le premier   jour de mai,"RS: 88 V   L: 78-1   MW: 1124, 3   ",,,88 V,78-1,,,"1124, 3",,Fin de strophe,Chanson avec des refrains,Gavaron Grazelle,,,,,,,,,,,,1,,"CH-BEb 389, fol. 129 r",,et elle di sire per foi. uos estes fols et jangleos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A8B8,,,,,,,,,,,,,
710,,,,"Et fole et sage est amors, vie et mors, joie et dolors.",1,lyrique (monodie),Qui bien veut Amours descrivre,"RS: 1655   L: 231-9   T: 956   MW: 752, 18   ",,,1655,231-9,956,,"752, 18",,Fin de strophe,Chanson à refrain (nombre et ordre des st. variables selon les manuscrits),Robert de Reims (F-Pn fr. 844 / F-Pn fr. 12615 / F-Pa   5198 / F-Pn fr. 845 / F-Pn fr. 847 / CH-BEb 389); Moniot d'Arras (F-Pn   fr. 1591; attribution fautive [Petersen-Dyggve]; l'auteur se nomme « La   chievre » dans la st. V]),,,,,,,,,,,,1,,"F-Pn fr. 20050, fol. 37 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Refrain manquant,Ordre des st.: I/II/IV/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image2302.png,"F-Pn fr. 844, fol. 175 (160) va",,,,,,,,,,,,,,,,,et fole et sage est amors. vie et mors. ioie et dolors.,,,et fole.,,,et fole.,,,et fole.,,,,,,et fole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Ordre des st.: I/II/III/IV/VI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1_files/image2304.png,"F-Pn fr. 12615, fol. 152 v",,,,,,,,,,,,,,,,,et fole et saige est amors. vie et mors ioie et dolors.,,,et fole et saige,,,et fole et saige.,,,et fole.,,,et fole.,,,et fole et,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Ordre des st.: I/II/III/IV/V/VI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,"GB-Lbl Egerton 274, fol. 115 r",Et fole et sage]et fole et sage st. I; amors]amors. st. I; vie et mors joie et dolors]vie mors. ioie dolors. st. I,,,,,,,,,,,,,,,,et fole et sage est amors. vie mors. ioie dolors.,,,et fole et sage.,,,et fole et sage.,,,et fole et sage.,,,,,,et fole et sage et cetera.,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Ordre des st.: I/III/IV/II/VI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1_files/image2306.png,"F-Pa 5198, p. 189 b",,,,,,,,,,,,,,,,,et fole et sage est amors. uie mors ioie et dolors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Refrains st. II-IV/VI: manquants,Ordre des st.: I/II/III/IV/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1_files/image2308.png,"F-Pn fr. 845, fol. 90 va",,,,,,,,,,,,,,,,,et fole et sage est amors uie. morz. ioie. et dolors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Refrains st. II-IV/VI: manquants,Ordre des st.: I/II/III/IV/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1_files/image2310.png,"F-Pn nouv. acq. fr. 1050, fol. 134 va",,,,,,,,,,,,,,,,,et fole et sage est amors. vie mors ioie et dolours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Refrains st. II-IV/VI: manquants,Ordre des st.: I/II/III/IV/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1_files/image2312.png,"F-Pn fr. 847, fol. 72 ra",,,,,,,,,,,,,,,,,et fole et sage est amors. vie mors ioie et dolors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Refrains st. II-VI: manquants,Ordre des st.: I/II/III/IV/V,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,"I-MOe {alpha} R. 4. 4 (est. 45), fol. 223 va",Et fole et sage]bone e male st. III; vie et mors joie et dolors]iois e gauz pene dolors. st. III,,,,,,,,,,,,,,,,,,,,,,bone e male est amors iois e gauz pene dolors.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A6A7,Refrains st. I-II/IV/VI: manquants,Ordre des st.: I/III/II/IV/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1_files/image2314.png,"F-Pn fr. 846, fol. 115 va",,,,,,,,,,,,,,,,,et fole et sage est amors uie et morz ioie et dolors.,,,et fole.,,,et fole.,,,et fole.,,,,,,et fole.,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Ordre des st.: I/III/II/IV/VI,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1_files/image2316.png,"F-Pn fr. 1591, fol. 28 r",,,,,,,,,,,,,,,,,et folle et sage est amours vie mors ioie et dolours.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Refrains st. II-VI: manquants,Ordre des st.: I/II/III/IV/V/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,"CH-BEb 389, fol. 113 r",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Refrain manquant,Ordre des st.: I/II/IV/VI,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1_files/image2318.png,"I-Rvat Reg. lat. 1490, fol. 102 (116) va",Et fole et sage]et fole et sage st. II; amors]amours st. II; vie et mors joie et dolors]vie et mors joie et dolours st. II,,,,,,,,,,,,,,,,et fole et sage est amours. vie et mors joie et dolours,,,et fole et sage est amours vie et mors joie et dolours,,,et fol et sage,,,et fole et sage,,,et fole et sage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A7A7,Ordre des st.: I/II/III/IV/V,,,,,,,,,,,,
711,,,,Et Guis aime Emmelot de foi.,1,lyrique (monodie),Bele Emelos es prés desous l'arbroie,"RS: 1688   L: 15-3   T: 975   MW: 217, 9   ",,,1688,15-3,975,,"217, 9",,Fin de strophe,Chanson de toile à refrain (9 st.),Audefroi le Bâtard,,,,,,,,,,,,1,1_files/image2320.png,"F-Pn fr. 844, fol. 151 (136) rb",,,,,,,,,,,,,,,,,et guis aime emmelot de foi.,,,et guis.,,,et guis.,,,et guis.,,,et guis.,,,et.,,,et guis.,,,et guis.,,,et guis.,,,,,,,,,,,,,,,,,,,A8,,,,,,,,,,,,,
712,,,,Et joie atent Gerars.,1,lyrique (monodie),"Bele Ysabiaus, pucele bien aprise","RS: 1616   L: 15-5   T: 930   MW: 237, 1   ",,,1616,15-5,930,,"237, 1",,Fin de strophe,Chanson de toile à refrain (13 st.),Audefroi le Bâtard,,,,,,,,,,,,1,1_files/image2322.png,"F-Pn fr. 844, fol. 148 (133) ra",Et]et st. XIII; Gerars]gerars. st. XIII,,,,,,,,,,,,,,,,et ioie atent gerars.,,,et ioie atent.,,,et ioie atent.,,,et ioie.,,,et ioie.,,,et ioie.,,,et ioie.,,,et ioie.,,,et ioie.,et ioie.,et ioie.,et ioie.,et ioie atent gerars.,,,,,,,,,,,,,,,A6,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1_files/image2324.png,"F-Pn fr. 12615, fol. 57 r","Et]et st. II/VI/XIII; atent]atent st. II, atent st. VI; Gerars]gherars. st. II/VI, gierars. st. XIII",,,,,,,,,,,,,,,,et ioie atent gherars.,,,et ioie atent gherars.,,,et ioie.,,,et ioie.,,,et ioie.,,,et ioie atent gherars.,,,et ioie,,,et ioie,,,et ioie,et ioie.,et ioie.,et ioie.,et ioie atent gierars.,,,,,,,,,,,,,,,A6,Refrain st. XII: manquant,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"CH-BEb 389, fol. 33 r","Et]et st. I-II/IV/VII-XII; atent]atant st. I-II/IV/VII-XII; Gerars]girairs st. I, girairs st. II, girairs. st. IV/VIII-XII",,,,,,,,,,,,,,,,et joie atant girairs,,,et joie atant girairs,,,et ioie atant.,,,et joie atant girairs.,,,et ioie atant.,,,,,,et joie atant girairs.,,,et joie atant girairs.,,,et joie atant girairs.,et joie atant girairs.,et joie atant girairs.,et joie atant girairs.,or ait ioie girairs.,,,,,,,,,,,,,,,A6,St. VI manquante,,,,,,,,,,,,
